,Users,Date Created,Number of Likes,Source of Tweet,Tweet
23,Francois Mendy⭐️⭐️,2022-10-25 18:01:22+00:00,0,Twitter Web App,"Rishi Sunak, dont le grand-père était percepteur des impôts, au Kenya, décoré de l'Ordre de l'Empire Britannique, d… https://t.co/0HQHD0Jzg1"
24,Alice Cochrane,2022-10-25 18:01:22+00:00,0,Twitter Web App,"RT @Number10cat: Rishi Sunak is forming a government featuring all parts of the Conservative Party: the right wing, the hard right wing and…"
25,Anna-Rose 💙🦉🥀🌹🐇 The world is built on stories,2022-10-25 18:01:22+00:00,0,Twitter for Android,"RT @RichardJMurphy: So, Rishi Sunak appoints as Home Secretary a woman who dreams of deporting victims of torture to Rwanda. Any hope that…"
26,Lalitha Persaud 💙 #NHSblueheart,2022-10-25 18:01:21+00:00,0,Twitter for Android,RT @jeremycorbyn: Rishi Sunak's cabinet appointments are a clear signal of the pro-austerity and anti-migrant machine he intends to operate…
27,amunraah,2022-10-25 18:01:21+00:00,0,Twitter for iPhone,"RT @CarolineLucas: Not a single mention of climate in Rishi Sunak's first speech as PM. It's not like we're facing a climate emergency, a m…"
28,Vks,2022-10-25 18:01:21+00:00,0,Twitter for Android,"RT @Lowkey0nline: Joe Biden congratulates new British Prime Minister Rishi Sunak by calling him ""Rashid Sanook.""
https://t.co/x4WQuXZEXp"
29,Elijah 🇬🇧👑🙏,2022-10-25 18:01:21+00:00,0,Twitter for iPhone,"RT @RoyalFamily: The King received The Rt Hon Rishi Sunak MP at Buckingham Palace today.

His Majesty asked him to form a new Administratio…"
30,Sir Frankie of Dubai,2022-10-25 18:01:21+00:00,0,Twitter for iPhone,"RT @HeartsofOakUK: ""This is a globalist coup d'état...""

David Vance discussing the recent endorsement for Rishi Sunak by Andrew Neil in th…"
31,Dr Zowie Davy dismayed with GCs’ patriarchal ideal,2022-10-25 18:01:21+00:00,0,Twitter for iPhone,"RT @PeterStefanovi2: At noon Rishi Sunak promised a “compassionate” Government

At 5pm he made Suella Braverman - with her cruel &amp; toxic vi…"
32,Chinar,2022-10-25 18:01:21+00:00,0,Twitter Web App,"RT @Pun_Starr: Canadian citizen Akshay Kumar and British citizen Rishi Sunak are Indians.

But Indian citizen Sonia Gandhi is Italian, and…"
33,Mohd Mearaj Ansari,2022-10-25 18:01:21+00:00,0,Twitter for iPhone,"RT @PChidambaram_IN: First Kamala Harris, now Rishi Sunak

The people of the U.S. and the U.K have embraced the non-majority citizens of th…"
34,WinterMarlis🇳🇬,2022-10-25 18:01:20+00:00,0,Twitter for Android,"RT @AfricaStoryLive: The UK's new Prime Minister Rishi Sunak's father was born in Kenya, while his mother was born in Tanzania. https://t.c…"
35,Bridget Cave,2022-10-25 18:01:20+00:00,0,Twitter for iPad,RT @Number10cat: To the best of my knowledge Rishi Sunak will be the first Prime Minister who can magically change the colour of ring binde…
36,LogicWins,2022-10-25 18:01:20+00:00,0,Twitter for iPhone,RT @suzseddon: New British PM Rishi Sunak is welcomed by Indian PM Modi. Who openly advocates enforcing the WEF’s globalist Agenda 2030 ont…
37,danny mac  art,2022-10-25 18:01:20+00:00,0,Twitter for iPhone,"RT @GOV2UK: Jacob Rees-Mogg is furious that you keep retweeting him saying a new Prime Minister requires a General Election.

Please stop r…"
38,🦇Count Momrade🦇,2022-10-25 18:01:20+00:00,0,Twitter for Android,"RT @CPBritain: DOOM, GLOOM, NO BOOM - there will be no poll bounce for the newly installed Prime Minister Rishi Sunak. His job is to pile t…"
39,Proma Muhury,2022-10-25 18:01:20+00:00,0,Twitter for Android,"Jerry's not only racist, he greatly underestimates #Hindus' capacity of being #GoodSlaves. They served Britain loya… https://t.co/vODvOj1S5S"
40,"josema, tomemos las riendas",2022-10-25 18:01:20+00:00,0,Twitter for Android,"RT @PadreEmerito: Rishi Sunak, el nuevo y flamante nuevo primer ministro Británico al que nadie ha votado ya está usando ""Putin's war"" como…"
41,Petrifying Pete,2022-10-25 18:01:19+00:00,0,Twitter for Android,"RT @ShippersUnbound: Politics is a rough trade and Rishi Sunak needed Suella Braverman's support at the weekend, but receiving several 🤮 em…"
42,Nigel K 〓〓,2022-10-25 18:01:19+00:00,0,Twitter for iPhone,"RT @CarolineLucas: Rishi Sunak at lunchtime: ""This government will have integrity, professionalism and accountability at every level""

Rish…"
43,andrew barnard,2022-10-25 18:01:19+00:00,0,Twitter Web App,"RT @YvetteCooperMP: At noon Rishi Sunak promised “integrity, professionalism &amp; accountability”

At 5pm he made Suella Braverman Home Secret…"
44,Baishakhee Mohapatra🇮🇳,2022-10-25 18:01:19+00:00,0,Twitter Web App,"RT @AmanWadud: Rishi Sunak’s grandparents migrated to Kenya from present-day Pakistan , in 1935 - still Rishi Sunak is of Indian-origin.

O…"
45,Elijah 🇬🇧👑🙏,2022-10-25 18:01:19+00:00,0,Twitter for iPhone,RT @GeorgieProRadio: How did Larry know Rishi Sunak was coming?! @Number10cat https://t.co/VokQHChYDi
46,David Ward 🌹💙,2022-10-25 18:01:19+00:00,0,Twitter for iPhone,"RT @YvetteCooperMP: At noon Rishi Sunak promised “integrity, professionalism &amp; accountability”

At 5pm he made Suella Braverman Home Secret…"
47,Peter White,2022-10-25 18:01:18+00:00,0,Twitter for iPhone,RT @BarbaraSutton15: Rishi Sunak's cabinet- same shit different shovel!
48,Nigel Goodman,2022-10-25 18:01:18+00:00,0,Twitter Web App,"RT @BeckettUnite: A reminder that Track &amp; Trace never worked, was always in the hands of private providers (never the NHS) and wasted £37 b…"
49,Sarah Ward,2022-10-25 18:01:18+00:00,0,Twitter for iPhone,RT @jeremycorbyn: Rishi Sunak's cabinet appointments are a clear signal of the pro-austerity and anti-migrant machine he intends to operate…
50,Jacinto Pérez,2022-10-25 18:01:18+00:00,0,Twitter Web App,RT @BenderOfuscado: En Reino Unido han puesto al frente a Rishi Sunak porque en USA lo de dejar que un multimillonario gobierne parece que…
51,GUILLEM Roger,2022-10-25 18:01:17+00:00,0,Twitter Web App,@BOROWSKIMIKE https://t.co/RGoA4tVR2D
52,Issam Ahmed,2022-10-25 18:01:17+00:00,0,Twitter for Android,Rishi Sunak becoming UK PM breaks a barrier the US hasn't crossed: a non-Christian leader. American presidents have… https://t.co/zC5DCdHQgg
53,A Baby Daddy,2022-10-25 18:01:17+00:00,0,Twitter for Android,"RT @BBCPolitics: Rishi Sunak's first day as prime minister, in pictures 

https://t.co/nixByf7CZg"
54,Lindsay,2022-10-25 18:01:17+00:00,0,Twitter Web App,"RT @RoyalCentral: The King has arrived at Buckingham Palace ahead of his audiences with Liz Truss and Rishi Sunak.

This is the first time…"
55,Ryan,2022-10-25 18:01:17+00:00,0,Twitter for Android,If anyone is taking bets Rishi Sunak handing in his notice/getting sacked put me down for December 6th.
56,Dominican News Network,2022-10-25 18:01:17+00:00,0,Twitter for iPad,"Akshata Murty, la pareja del nuevo primer ministro británico Rishi Sunak, ha sido noticias a nivel mundial por su o… https://t.co/2zvQj0wc1c"
57,Llama Drama,2022-10-25 18:01:17+00:00,0,Twitter for iPhone,"RT @TheDailyShow: Meet Rishi Sunak, Britain's new PM who is only 42, meaning he'll probably serve well into his 42-and-a-halves https://t.c…"
58,Compounding@Dr.Prakhar01,2022-10-25 18:01:16+00:00,0,Twitter for Android,"RT @TheDailyShow: Meet Rishi Sunak, Britain's new PM who is only 42, meaning he'll probably serve well into his 42-and-a-halves https://t.c…"
59,The Doctor 🇺🇦🇬🇧🇪🇺🇫🇷 Johnson is unfit,2022-10-25 18:01:16+00:00,0,Twitter for iPhone,"RT @YvetteCooperMP: At noon Rishi Sunak promised “integrity, professionalism &amp; accountability”

At 5pm he made Suella Braverman Home Secret…"
60,Diario Perú21,2022-10-25 18:01:16+00:00,0,Besocy_Oficial,El nuevo primer ministro de Reino Unido Sunak mantiene a Jeremy Hunt como ministro de Economía https://t.co/BmLyHIWqdd
61,PAJ,2022-10-25 18:01:16+00:00,0,Twitter Web App,RT @jeremycorbyn: Rishi Sunak's cabinet appointments are a clear signal of the pro-austerity and anti-migrant machine he intends to operate…
62,Tony Kemp,2022-10-25 18:01:16+00:00,0,Twitter for Android,"RT @D0ntBeFooled: “Compassionate” Conservative, Rishi Sunak, has hired a Home Secretary who “dreams” of illegally deporting asylum seekers…"
63,Captain Chemtrail,2022-10-25 18:01:16+00:00,0,Twitter for iPad,"RT @Women4Wes: In just thirty seconds, this construction worker from Wakefield provided analysis of Rishi Sunak’s coronation that was more…"
64,Himanshu Shekhar,2022-10-25 18:01:16+00:00,0,Twitter for Android,"RT @AdityaRajKaul: Excellent Rishi Sunak edition of The Daily Show!  “I am selling the entire country to India, you ********”. Must must wa…"
65,NDTV,2022-10-25 18:01:16+00:00,0,Twitter Web App,#RishiSunak Is Richer Than King Charles. His Net Worth: 730 Million Pounds https://t.co/SDFVrrpEpd https://t.co/of6uO4sW9V
66,Viewzoner,2022-10-25 18:01:16+00:00,0,Twitter for Android,"RT @RichardJMurphy: So, Rishi Sunak appoints as Home Secretary a woman who dreams of deporting victims of torture to Rwanda. Any hope that…"
67,Dave Wolinski,2022-10-25 18:01:15+00:00,0,Twitter for iPhone,"RT @YvetteCooperMP: At noon Rishi Sunak promised “integrity, professionalism &amp; accountability”

At 5pm he made Suella Braverman Home Secret…"
68,Alex Daniel,2022-10-25 18:01:15+00:00,0,Twitter Web App,"RT @AdamBienkov: Rishi Sunak keeps Suella Braverman at the Home Office, so her ""dream"" of deporting refugees to Rwanda lives on."
69,Hels,2022-10-25 18:01:15+00:00,0,Twitter for iPhone,@BBCAlagiah I will add that I had to accept Brexit just like I had to accept we can’t have a GE but for some reason… https://t.co/SNqQNSJRGU
70,Сандра Станишић,2022-10-25 18:01:14+00:00,0,Twitter Web App,"RT @NiCoLeEliSei1: Rishi Sunak Owns Social Credit Score Company with Links to World Economic Forum, page 1 https://t.co/g4fpzbz2zN"
71,Guru,2022-10-25 18:01:14+00:00,0,Twitter for Android,"RT @AdityaRajKaul: Excellent Rishi Sunak edition of The Daily Show!  “I am selling the entire country to India, you ********”. Must must wa…"
72,Steve. #FBPE,2022-10-25 18:01:14+00:00,0,Twitter Web App,RT @Ed_Miliband: 3/ Solar &amp; wind are by far the cheapest power we have but Grant Shapps called onshore wind an “eyesore” in April THIS year…
73,Diane O'Neill,2022-10-25 18:01:14+00:00,0,Twitter for Android,RT @BarbaraSutton15: Rishi Sunak's cabinet- same shit different shovel!
74,Liam Mills,2022-10-25 18:01:14+00:00,0,Twitter for Android,"RT @Femi_Sorry: Rishi Sunak boasted about taking money from ""deprived urban areas"" and giving it to 97.5% white rich areas, during a povert…"
75,Andrew Beaujon,2022-10-25 18:01:14+00:00,0,TweetDeck,I can't imagine how much effort goes into making sure Rishi Sunak is far in the foreground in photos that involve other people
76,Michelle Ruthven,2022-10-25 18:01:14+00:00,0,Twitter for iPhone,"RT @JamesMelville: Rishi Sunak:

“I have friends who are aristocrats. I have friends who are upper class. I have friends who are working-cl…"
77,Onyeoma Kelvin,2022-10-25 18:01:14+00:00,0,Twitter for Android,"RT @DavidHundeyin: Rishi Sunak won the race to become the UK's Prime Minister and stocks immediately went up.

Buhari won Nigeria's electio…"
78,Diane Davidson,2022-10-25 18:01:13+00:00,0,Twitter Web App,"RT @mattprescott: Rishi SUNAK is going to focus on scrapping EU-DERIVED LAWS and installing ""FREEPORT"" / ""INVESTMENT ZONES""... these are HO…"
79,Philippa Thomas 🏴󠁧󠁢󠁷󠁬󠁳󠁿🌎,2022-10-25 18:01:13+00:00,0,Twitter for iPhone,"“This government will have integrity, professionalism and accountability at every level” said Rishi Sunak. So he re… https://t.co/wINfiVInMB"
80,Tarun,2022-10-25 18:01:13+00:00,0,Twitter Web App,RT @PTI_News: Rishi Sunak takes charge as Britain's first Indian-origin Prime Minister after being invited to form government by King Charl…
81,Janice Taggart 💙,2022-10-25 18:01:13+00:00,0,Twitter for iPad,"RT @CarolineLucas: Rishi Sunak at lunchtime: ""This government will have integrity, professionalism and accountability at every level""

Rish…"
82,Doctor Who(da) the Unretracted,2022-10-25 18:01:13+00:00,0,Twitter for iPhone,"RT @hfp91: Brilliant Rishi Sunak edition of The Daily Show 
 https://t.co/w43GHmIaQm via @YouTube 
worth a watch @SameiHuda @nuwandiss @Ros…"
83,Sean 🗿,2022-10-25 18:01:13+00:00,0,Twitter for iPhone,"RT @YvetteCooperMP: At noon Rishi Sunak promised “integrity, professionalism &amp; accountability”

At 5pm he made Suella Braverman Home Secret…"
84,Steffan Ellis,2022-10-25 18:01:13+00:00,0,Twitter for Android,RT @jeremycorbyn: Rishi Sunak's cabinet appointments are a clear signal of the pro-austerity and anti-migrant machine he intends to operate…
85,Ayushman Singh Jamwal,2022-10-25 18:01:13+00:00,0,Twitter for iPhone,"RT @CNNnews18: #SunakInDowning | Rishi Sunak becomes the 57th Prime Minister of #Britain, vows to fix #UK's economy 

Join the broadcast wi…"
86,Danny Blah Blah,2022-10-25 18:01:13+00:00,0,Twitter for Android,"RT @CarolineLucas: Rishi Sunak at lunchtime: ""This government will have integrity, professionalism and accountability at every level""

Rish…"
87,John Russell,2022-10-25 18:01:12+00:00,0,Twitter for Android,RT @FinancialTimes: Opinion: There is much hope of a restoration of competence with Rishi Sunak. There shouldn’t be – this is still the man…
88,SQuinnell,2022-10-25 18:01:12+00:00,0,Twitter Web App,RT @CarolineLucas: Utterly shameful for Rishi Sunak to remove seat at cabinet table for COP26 President Alok Sharma - just weeks before one…
89,mwana_mboka,2022-10-25 18:01:12+00:00,0,Twitter for Android,"RT @TheDailyShow: Meet Rishi Sunak, Britain's new PM who is only 42, meaning he'll probably serve well into his 42-and-a-halves https://t.c…"
90,nicole segre,2022-10-25 18:01:12+00:00,0,Twitter for iPhone,"RT @EdwardJDavey: Rishi Sunak’s words will do nothing to reassure struggling people worried sick about the winter ahead.

He says he wants…"
91,Bala,2022-10-25 18:01:12+00:00,0,Twitter for Android,"RT @TrulyMonica: Manmohan Singh as a Sikh indeed represented a minority in India but I agree, he wasn’t visible. That’s why Tharoor thinks…"
92,Jill,2022-10-25 18:01:12+00:00,0,Twitter for iPhone,"RT @cherbic555: The WEF are in panic mode which is why Rishi Sunak was quickly installed as the new PM.
Rishi Sunak is linked to Global Dig…"
93,Fanny Fannakapan,2022-10-25 18:01:12+00:00,0,Twitter for iPhone,"RT @KevinASchofield: This morning, Rishi Sunak said “I promise you this - I will bring that same compassion to the challenges we face today…"
94,Rishi Sunak Fan page,2022-10-25 18:01:12+00:00,1,Twitter for iPhone,@theskindoctor13 Sir never have got an opportunity to get your Rt… so plz check this tweet and RT if you like or else at least send a like 🙏
95,Lavy 🇺🇸,2022-10-25 18:01:12+00:00,0,Twitter for iPhone,"“All the latest from the cabinet reshuffle in the UK as Rishi Sunak takes office” 
https://t.co/fMGMu8jDcP"
96,Sue G 💙 🟨 🟥 #JoinAUnion #OurNHS,2022-10-25 18:01:11+00:00,0,Twitter for iPad,"RT @LBC: 'This all smacks of grubby deals to keep individual factions of the Tory Party.'

Labour's Peter Kyle slams Rishi Sunak, saying th…"
97,Diane O'Neill,2022-10-25 18:01:11+00:00,0,Twitter for Android,"RT @RichardJMurphy: So, Rishi Sunak appoints as Home Secretary a woman who dreams of deporting victims of torture to Rwanda. Any hope that…"
98,Helen McCarthy,2022-10-25 18:01:11+00:00,0,Twitter for iPhone,"RT @AdamBienkov: Rishi Sunak keeps Suella Braverman at the Home Office, so her ""dream"" of deporting refugees to Rwanda lives on."
99,Imagine,2022-10-25 18:01:11+00:00,0,Twitter for Android,"RT @POTUS: Congratulations to Rishi Sunak on becoming Prime Minister of the United Kingdom.

Together, I look forward to enhancing our coop…"
